Date,Open,High,Low,Close,Volume
1985-10-01,110.62,112.16,110.57,112.14,153160000
1985-10-02,112.14,112.54,110.78,110.82,164640000
1985-10-03,110.84,111.18,110.12,110.87,147300000
1985-10-04,110.87,110.87,109.86,110.07,147900000
1985-10-07,110.07,110.14,108.18,108.20,128640000
1985-10-08,108.20,108.27,106.75,107.16,144100000
1985-10-09,107.16,108.99,107.11,108.63,156200000
1985-10-10,108.63,109.51,107.81,109.43,154840000
1985-10-11,109.43,111.12,109.43,111.05,158220000
1985-10-14,111.05,113.27,111.05,113.18,123120000
1985-10-15,113.18,113.98,112.79,113.38,171360000
1985-10-16,113.38,114.34,113.20,114.32,175120000
1985-10-17,114.32,115.34,114.32,114.74,190940000
1985-10-18,114.74,114.96,113.83,114.32,180880000
1985-10-21,114.32,114.46,113.65,113.68,142800000
1985-10-22,113.80,114.89,113.43,114.44,157740000
1985-10-23,114.44,115.53,114.44,115.07,202200000
1985-10-24,115.07,116.11,115.07,115.49,190860000
1985-10-25,115.49,115.54,113.74,113.91,165840000
1985-10-28,113.91,113.91,113.21,113.82,131460000
1985-10-29,113.82,115.74,113.81,115.40,163400000
1985-10-30,115.40,116.12,115.34,115.77,196040000
1985-10-31,115.77,116.11,115.15,115.48,169920000
1985-11-01,115.48,116.78,115.48,116.28,180180000
1985-11-04,116.28,117.07,115.82,116.04,150680000
1985-11-05,116.04,116.57,115.88,116.44,175360000
1985-11-06,116.44,117.62,116.44,117.38,187000000
1985-11-07,117.38,117.96,117.38,117.62,177280000
1985-11-08,117.62,119.39,117.58,119.26,173520000
1985-11-11,119.26,120.54,119.18,120.40,160780000
1985-11-12,120.39,122.01,120.39,121.82,216600000
1985-11-13,121.82,121.92,120.90,121.17,186420000
1985-11-14,121.17,121.92,120.80,121.83,196080000
1985-11-15,121.83,123.10,121.79,122.18,190540000
1985-11-18,122.18,122.28,121.73,121.96,164420000
1985-11-19,121.96,122.80,121.74,122.57,203600000
1985-11-20,122.57,122.79,122.20,122.20,195200000
1985-11-21,122.20,123.81,122.20,123.61,239800000
1985-11-22,123.61,124.33,123.44,123.97,208400000
1985-11-25,123.97,124.17,122.82,123.14,166860000
1985-11-26,123.14,124.25,123.09,123.95,187260000
1985-11-27,123.95,125.88,123.88,125.77,206600000
1985-11-29,125.77,126.43,125.52,126.06,115180000
1985-12-02,126.06,126.28,124.86,125.18,171520000
1985-12-03,125.18,125.42,124.72,125.23,169080000
1985-12-04,125.23,128.05,125.17,127.94,234400000
1985-12-05,128.07,129.89,127.86,128.46,283000000
1985-12-06,128.46,128.54,126.78,126.96,221600000
1985-12-09,126.96,127.64,126.83,127.49,209600000
1985-12-10,127.49,128.52,127.15,127.97,223600000
1985-12-11,127.97,129.65,127.97,129.18,253000000
1985-12-12,129.18,130.10,129.18,129.76,234600000
1985-12-13,129.76,132.17,129.76,132.12,263400000
1985-12-16,132.12,133.18,132.06,132.61,230600000
1985-12-17,132.54,132.73,131.32,131.54,242000000
1985-12-18,131.52,131.98,130.71,131.14,275800000
1985-12-19,131.14,132.03,130.91,131.93,229800000
1985-12-20,131.93,132.58,131.70,132.26,231600000
1985-12-23,132.26,132.26,130.37,130.73,198820000
1985-12-24,130.73,130.73,129.30,130.03,128560000
1985-12-26,130.03,130.63,129.89,130.35,107800000
1985-12-27,130.35,131.59,130.25,131.49,149820000
1985-12-30,131.49,132.13,131.24,131.95,185640000
1985-12-31,131.95,132.66,131.90,132.29,225400000
1986-01-02,132.29,132.45,131.07,131.26,151620000
1986-01-03,131.26,131.26,130.00,130.55,178360000
1986-01-06,130.55,130.70,129.85,130.35,198480000
1986-01-07,130.35,132.88,130.33,132.79,255000000
1986-01-08,132.79,133.88,131.15,131.16,280000000
1986-01-09,131.01,131.16,128.05,128.80,238800000
1986-01-10,128.80,129.97,128.79,129.57,197000000
1986-01-13,129.57,129.60,128.63,129.10,178980000
1986-01-14,129.10,129.96,128.99,129.18,205800000
1986-01-15,129.18,131.65,129.01,131.54,237400000
1986-01-16,131.54,133.12,131.54,133.06,247800000
1986-01-17,133.06,133.60,132.60,132.77,225600000
1986-01-20,132.77,132.79,131.15,131.60,178860000
1986-01-21,131.60,132.01,130.60,131.09,221400000
1986-01-22,131.09,131.78,129.47,129.62,215200000
1986-01-23,129.62,129.62,128.46,129.27,222200000
1986-01-24,129.27,130.54,129.27,130.20,236600000
1986-01-27,130.21,130.99,129.79,130.79,221000000
1986-01-28,130.79,132.04,130.67,131.99,230800000
1986-01-29,131.99,134.13,131.99,133.06,264200000
1986-01-30,133.06,133.16,132.09,132.19,218000000
1986-01-31,132.19,133.22,132.03,132.93,218600000
1986-02-03,132.93,134.43,132.93,134.24,215200000
1986-02-04,134.24,135.69,134.24,134.60,250600000
1986-02-05,134.60,135.79,134.60,135.71,210600000
1986-02-06,135.71,136.94,135.57,136.64,239400000
1986-02-07,136.47,137.49,135.74,137.42,222200000
1986-02-10,137.40,138.24,137.30,138.12,214800000
1986-02-11,138.12,138.61,137.85,138.26,226600000
1986-02-12,138.26,138.76,138.04,138.66,244400000
1986-02-13,138.66,139.29,138.45,139.16,257200000
1986-02-14,139.16,140.63,139.16,140.16,244800000
1986-02-18,140.16,140.76,139.99,140.74,252000000
1986-02-19,140.74,140.92,139.59,139.64,273800000
1986-02-20,139.64,140.02,138.94,139.95,249800000
1986-02-21,139.95,141.24,139.95,141.15,293400000
1986-02-24,141.16,141.18,139.99,140.20,255800000
1986-02-25,140.20,140.20,138.87,139.40,237800000
1986-02-26,139.40,139.63,138.68,138.88,248400000
1986-02-27,138.88,140.53,138.74,140.52,249400000
1986-02-28,140.90,141.83,140.41,140.43,261200000
